recording,session,channel,n_good,r,z,nrmse,lambda,pi,mu,d
sub-001_ses-t1,ses-t1,TP7,62,0.9506922020405599,1.838928660907177,0.3362200061578677,2.7108324793537886,0.0003616854542166496,3,17.988943887277408
sub-001_ses-t1,ses-t1,CP5,62,0.9039207931795912,1.493248845967722,0.4606523956430854,3.2590851563912495,0.0,4,19.399051296422527
sub-001_ses-t1,ses-t1,CP3,62,0.7123533471948551,0.8919455514494823,0.7054263847046419,3.0091687778984197,0.0,4,21.041789990512164
sub-001_ses-t1,ses-t1,CP1,62,0.902934175879251,1.4878814647485188,0.455090413607156,2.8033616482920656,0.0,4,21.041789990512164
sub-001_ses-t1,ses-t1,P1,62,0.9361302445123648,1.7058003006737124,0.36952033165280945,3.1583644916174163,0.0,3,16.7762971676845
sub-001_ses-t1,ses-t1,P3,62,0.9599633464588089,1.9454428391007577,0.29324451259780476,3.4408660515047345,0.0,4,17.094795802718945
sub-001_ses-t1,ses-t1,P5,62,0.9762993948722698,2.211740400911675,0.25119595883554235,3.5395189003436425,0.0,5,17.594959612644345
sub-001_ses-t1,ses-t1,P7,62,0.9775425701566223,2.2389943582633403,0.22249098503713524,3.044599807135969,0.0,4,17.705676358858174
sub-001_ses-t1,ses-t1,P9,62,0.9542044917830073,1.8767762337947975,0.3145827508219612,1.1289952961042093,0.4805210469183452,1,22.999999999986578
sub-001_ses-t1,ses-t1,PO7,62,0.9700859063697778,2.0937513499316567,0.2869675925917935,2.9289591122904355,0.0003015317814497648,4,17.9889438872964
sub-001_ses-t1,ses-t1,PO3,62,0.9763908072603567,2.2136957383263405,0.22756740842042883,3.3221840535165432,0.0,4,18.99137042434568
sub-001_ses-t1,ses-t1,O1,62,0.9823503455861156,2.360661129848702,0.19420764139430394,2.7276618835162183,0.0002411672494875196,3,17.988943887277408
sub-001_ses-t1,ses-t1,Iz,62,0.968687006600818,2.070544484717295,0.5938565813995139,1.0151935367177138,0.47919932473170146,1,22.999999999978343
sub-001_ses-t1,ses-t1,Oz,62,0.9843502759834268,2.421296770274797,0.1910037837950395,2.4990054849014527,0.0,4,17.988943887277408
sub-001_ses-t1,ses-t1,POz,62,0.9625851096698996,1.9799745271737443,0.2720634648960516,3.088240612380206,0.0,2,22.999999999998153
sub-001_ses-t1,ses-t1,Pz,62,0.9664750499424871,2.0358539823941975,0.26221732347304555,3.089577430827657,0.0,4,16.7762971676845
sub-001_ses-t1,ses-t1,CPz,62,0.9357442612143179,1.7026880616113624,0.3530569314002623,2.7346840328027016,0.0,4,22.021524975074975
sub-001_ses-t1,ses-t1,Fpz,62,0.961808115951448,1.9694994007680515,0.2812384358981242,2.2250693355842275,0.03617508742312794,3,17.988943887277408
sub-001_ses-t1,ses-t1,Fp2,62,0.9866794991411407,2.5024578321239446,0.16705704767653853,2.402555910543131,0.036289107239737176,3,17.988943887277408
sub-001_ses-t1,ses-t1,AF8,62,0.9658521160417345,2.0264902281020305,0.25972029796158985,2.6033142512805063,0.03669780054233203,4,17.9889438872964
sub-001_ses-t1,ses-t1,AF4,62,0.9694229357555654,2.082622829693557,0.24560316457468637,3.3205522397057936,0.0,4,18.99137042434568
sub-001_ses-t1,ses-t1,AFz,62,0.9790388706740497,2.273848424463488,0.20909141167479503,3.124826713278283,0.0,2,22.999999999998153
sub-001_ses-t1,ses-t1,Fz,62,0.9804369823791248,2.308715934853118,0.20258911514160738,3.089412757747498,0.0,4,16.7762971676845
sub-001_ses-t1,ses-t1,F2,62,0.9783950196857156,2.25855867032045,0.2088846453737775,3.158360952094004,0.0,3,16.7762971676845
sub-001_ses-t1,ses-t1,F4,62,0.9665120026282622,2.036414804090934,0.25715215226683896,3.440653445053951,0.0,4,17.094795802718945
sub-001_ses-t1,ses-t1,F6,62,0.9771865877641994,2.2310407894993625,0.21265679487362008,3.4742709086526875,0.0,5,17.594959612644345
